question_ref,prep_test,section_number,section_label,question_number,question_label,module_id,section_id,source_item_id
PT 127 · S3 (LR) · Q12,PT 127,3,S3,12,Q12,LSAC127,LR127B-3,16029-07
PT 127 · S3 (LR) · Q13,PT 127,3,S3,13,Q13,LSAC127,LR127B-3,15558-08
PT 127 · S3 (LR) · Q14,PT 127,3,S3,14,Q14,LSAC127,LR127B-3,17047-08
PT 127 · S3 (LR) · Q15,PT 127,3,S3,15,Q15,LSAC127,LR127B-3,14790-01
PT 127 · S3 (LR) · Q16,PT 127,3,S3,16,Q16,LSAC127,LR127B-3,17705-06
PT 127 · S3 (LR) · Q17,PT 127,3,S3,17,Q17,LSAC127,LR127B-3,11565-02
PT 127 · S3 (LR) · Q18,PT 127,3,S3,18,Q18,LSAC127,LR127B-3,17705-10
PT 127 · S3 (LR) · Q19,PT 127,3,S3,19,Q19,LSAC127,LR127B-3,15240-04
PT 127 · S3 (LR) · Q20,PT 127,3,S3,20,Q20,LSAC127,LR127B-3,12227-10
PT 127 · S3 (LR) · Q21,PT 127,3,S3,21,Q21,LSAC127,LR127B-3,15217-05
PT 127 · S3 (LR) · Q22,PT 127,3,S3,22,Q22,LSAC127,LR127B-3,13479-02
PT 127 · S3 (LR) · Q23,PT 127,3,S3,23,Q23,LSAC127,LR127B-3,18833-08
PT 127 · S3 (LR) · Q24,PT 127,3,S3,24,Q24,LSAC127,LR127B-3,08380-03
PT 127 · S3 (LR) · Q25,PT 127,3,S3,25,Q25,LSAC127,LR127B-3,18728-07
PT 127 · S4 (RC) · Q1,PT 127,4,S4,1,Q1,LSAC127,RC127A-4,12230-01
PT 127 · S4 (RC) · Q2,PT 127,4,S4,2,Q2,LSAC127,RC127A-4,12230-11
PT 127 · S4 (RC) · Q3,PT 127,4,S4,3,Q3,LSAC127,RC127A-4,D008B
PT 127 · S4 (RC) · Q4,PT 127,4,S4,4,Q4,LSAC127,RC127A-4,12230-02
PT 127 · S4 (RC) · Q5,PT 127,4,S4,5,Q5,LSAC127,RC127A-4,12230-03
PT 127 · S4 (RC) · Q6,PT 127,4,S4,6,Q6,LSAC127,RC127A-4,12230-04
PT 127 · S4 (RC) · Q7,PT 127,4,S4,7,Q7,LSAC127,RC127A-4,12230-12
PT 127 · S4 (RC) · Q8,PT 127,4,S4,8,Q8,LSAC127,RC127A-4,14425-01
PT 127 · S4 (RC) · Q9,PT 127,4,S4,9,Q9,LSAC127,RC127A-4,14425-02
PT 127 · S4 (RC) · Q10,PT 127,4,S4,10,Q10,LSAC127,RC127A-4,14425-07
PT 127 · S4 (RC) · Q11,PT 127,4,S4,11,Q11,LSAC127,RC127A-4,14425-05
PT 127 · S4 (RC) · Q12,PT 127,4,S4,12,Q12,LSAC127,RC127A-4,14425-09
PT 127 · S4 (RC) · Q13,PT 127,4,S4,13,Q13,LSAC127,RC127A-4,14425-03
PT 127 · S4 (RC) · Q14,PT 127,4,S4,14,Q14,LSAC127,RC127A-4,14425-10
PT 127 · S4 (RC) · Q15,PT 127,4,S4,15,Q15,LSAC127,RC127A-4,14425-12
PT 127 · S4 (RC) · Q16,PT 127,4,S4,16,Q16,LSAC127,RC127A-4,CM002-01
PT 127 · S4 (RC) · Q17,PT 127,4,S4,17,Q17,LSAC127,RC127A-4,CM002-10
PT 127 · S4 (RC) · Q18,PT 127,4,S4,18,Q18,LSAC127,RC127A-4,CM002-03
PT 127 · S4 (RC) · Q19,PT 127,4,S4,19,Q19,LSAC127,RC127A-4,CM002-07
PT 127 · S4 (RC) · Q20,PT 127,4,S4,20,Q20,LSAC127,RC127A-4,CM002-08
PT 127 · S4 (RC) · Q21,PT 127,4,S4,21,Q21,LSAC127,RC127A-4,CM002-06
PT 127 · S4 (RC) · Q22,PT 127,4,S4,22,Q22,LSAC127,RC127A-4,11711-11
PT 127 · S4 (RC) · Q23,PT 127,4,S4,23,Q23,LSAC127,RC127A-4,11711-05
PT 127 · S4 (RC) · Q24,PT 127,4,S4,24,Q24,LSAC127,RC127A-4,11711-12
PT 127 · S4 (RC) · Q25,PT 127,4,S4,25,Q25,LSAC127,RC127A-4,11711-03
PT 127 · S4 (RC) · Q26,PT 127,4,S4,26,Q26,LSAC127,RC127A-4,11711-09
PT 127 · S4 (RC) · Q27,PT 127,4,S4,27,Q27,LSAC127,RC127A-4,11711-06
PT 128 · S1 (RC) · Q1,PT 128,1,S1,1,Q1,LSAC128,RC128V-1,12320-01
PT 128 · S1 (RC) · Q2,PT 128,1,S1,2,Q2,LSAC128,RC128V-1,12320-07
PT 128 · S1 (RC) · Q3,PT 128,1,S1,3,Q3,LSAC128,RC128V-1,12320-10
PT 128 · S1 (RC) · Q4,PT 128,1,S1,4,Q4,LSAC128,RC128V-1,12320-04
PT 128 · S1 (RC) · Q5,PT 128,1,S1,5,Q5,LSAC128,RC128V-1,12320-08
PT 128 · S1 (RC) · Q6,PT 128,1,S1,6,Q6,LSAC128,RC128V-1,16131-01
PT 128 · S1 (RC) · Q7,PT 128,1,S1,7,Q7,LSAC128,RC128V-1,16131-05
PT 128 · S1 (RC) · Q8,PT 128,1,S1,8,Q8,LSAC128,RC128V-1,16131-09
PT 128 · S1 (RC) · Q9,PT 128,1,S1,9,Q9,LSAC128,RC128V-1,16131-12
PT 128 · S1 (RC) · Q10,PT 128,1,S1,10,Q10,LSAC128,RC128V-1,16131-10
PT 128 · S1 (RC) · Q11,PT 128,1,S1,11,Q11,LSAC128,RC128V-1,16131-07
PT 128 · S1 (RC) · Q12,PT 128,1,S1,12,Q12,LSAC128,RC128V-1,16131-08
PT 128 · S1 (RC) · Q13,PT 128,1,S1,13,Q13,LSAC128,RC128V-1,16131-11
PT 128 · S1 (RC) · Q14,PT 128,1,S1,14,Q14,LSAC128,RC128V-1,09170-01
PT 128 · S1 (RC) · Q15,PT 128,1,S1,15,Q15,LSAC128,RC128V-1,09170-02
PT 128 · S1 (RC) · Q16,PT 128,1,S1,16,Q16,LSAC128,RC128V-1,09170-10
PT 128 · S1 (RC) · Q17,PT 128,1,S1,17,Q17,LSAC128,RC128V-1,09170-05
PT 128 · S1 (RC) · Q18,PT 128,1,S1,18,Q18,LSAC128,RC128V-1,09170-07
PT 128 · S1 (RC) · Q19,PT 128,1,S1,19,Q19,LSAC128,RC128V-1,09170-11
PT 128 · S1 (RC) · Q20,PT 128,1,S1,20,Q20,LSAC128,RC128V-1,09170-09
PT 128 · S1 (RC) · Q21,PT 128,1,S1,21,Q21,LSAC128,RC128V-1,09170-12
PT 128 · S1 (RC) · Q22,PT 128,1,S1,22,Q22,LSAC128,RC128V-1,10008-01
PT 128 · S1 (RC) · Q23,PT 128,1,S1,23,Q23,LSAC128,RC128V-1,10008-04
PT 128 · S1 (RC) · Q24,PT 128,1,S1,24,Q24,LSAC128,RC128V-1,10008-03
PT 128 · S1 (RC) · Q25,PT 128,1,S1,25,Q25,LSAC128,RC128V-1,10008-08
PT 128 · S1 (RC) · Q26,PT 128,1,S1,26,Q26,LSAC128,RC128V-1,10008-02
PT 128 · S1 (RC) · Q27,PT 128,1,S1,27,Q27,LSAC128,RC128V-1,10008-12
PT 128 · S1 (RC) · Q28,PT 128,1,S1,28,Q28,LSAC128,RC128V-1,10008-09
PT 128 · S2 (LR) · Q1,PT 128,2,S2,1,Q1,LSAC128,LR128A-2,18650-09
PT 128 · S2 (LR) · Q2,PT 128,2,S2,2,Q2,LSAC128,LR128A-2,19627-01
PT 128 · S2 (LR) · Q3,PT 128,2,S2,3,Q3,LSAC128,LR128A-2,11964-05
PT 128 · S2 (LR) · Q4,PT 128,2,S2,4,Q4,LSAC128,LR128A-2,19648-02
PT 128 · S2 (LR) · Q5,PT 128,2,S2,5,Q5,LSAC128,LR128A-2,17972-07
PT 128 · S2 (LR) · Q6,PT 128,2,S2,6,Q6,LSAC128,LR128A-2,15283-04
PT 128 · S2 (LR) · Q7,PT 128,2,S2,7,Q7,LSAC128,LR128A-2,19111-07
PT 128 · S2 (LR) · Q8,PT 128,2,S2,8,Q8,LSAC128,LR128A-2,15973-03
PT 128 · S2 (LR) · Q9,PT 128,2,S2,9,Q9,LSAC128,LR128A-2,14955-06
PT 128 · S2 (LR) · Q10,PT 128,2,S2,10,Q10,LSAC128,LR128A-2,14193-05
PT 128 · S2 (LR) · Q11,PT 128,2,S2,11,Q11,LSAC128,LR128A-2,17606-05
PT 128 · S2 (LR) · Q12,PT 128,2,S2,12,Q12,LSAC128,LR128A-2,LN184-01
PT 128 · S2 (LR) · Q13,PT 128,2,S2,13,Q13,LSAC128,LR128A-2,15169-04
PT 128 · S2 (LR) · Q14,PT 128,2,S2,14,Q14,LSAC128,LR128A-2,08830-03
PT 128 · S2 (LR) · Q15,PT 128,2,S2,15,Q15,LSAC128,LR128A-2,12756-06
PT 128 · S2 (LR) · Q16,PT 128,2,S2,16,Q16,LSAC128,LR128A-2,12645-06
PT 128 · S2 (LR) · Q17,PT 128,2,S2,17,Q17,LSAC128,LR128A-2,17717-08
PT 128 · S2 (LR) · Q18,PT 128,2,S2,18,Q18,LSAC128,LR128A-2,12968-06
PT 128 · S2 (LR) · Q19,PT 128,2,S2,19,Q19,LSAC128,LR128A-2,C5055-01
PT 128 · S2 (LR) · Q20,PT 128,2,S2,20,Q20,LSAC128,LR128A-2,H00-389A
PT 128 · S2 (LR) · Q21,PT 128,2,S2,21,Q21,LSAC128,LR128A-2,10109-02
PT 128 · S2 (LR) · Q22,PT 128,2,S2,22,Q22,LSAC128,LR128A-2,19299-06
PT 128 · S2 (LR) · Q23,PT 128,2,S2,23,Q23,LSAC128,LR128A-2,18696-08
PT 128 · S2 (LR) · Q24,PT 128,2,S2,24,Q24,LSAC128,LR128A-2,18622-10
PT 128 · S2 (LR) · Q25,PT 128,2,S2,25,Q25,LSAC128,LR128A-2,17851-03
PT 128 · S3 (LR) · Q1,PT 128,3,S3,1,Q1,LSAC128,LR128B-3,15975-09
PT 128 · S3 (LR) · Q2,PT 128,3,S3,2,Q2,LSAC128,LR128B-3,18622-02
PT 128 · S3 (LR) · Q3,PT 128,3,S3,3,Q3,LSAC128,LR128B-3,13085-05
PT 128 · S3 (LR) · Q4,PT 128,3,S3,4,Q4,LSAC128,LR128B-3,11984-01
PT 128 · S3 (LR) · Q5,PT 128,3,S3,5,Q5,LSAC128,LR128B-3,16719-07
PT 128 · S3 (LR) · Q6,PT 128,3,S3,6,Q6,LSAC128,LR128B-3,I00-486A
PT 128 · S3 (LR) · Q7,PT 128,3,S3,7,Q7,LSAC128,LR128B-3,16478-01
PT 128 · S3 (LR) · Q8,PT 128,3,S3,8,Q8,LSAC128,LR128B-3,15977-03
PT 128 · S3 (LR) · Q9,PT 128,3,S3,9,Q9,LSAC128,LR128B-3,15297-06
PT 128 · S3 (LR) · Q10,PT 128,3,S3,10,Q10,LSAC128,LR128B-3,12947-04
PT 128 · S3 (LR) · Q11,PT 128,3,S3,11,Q11,LSAC128,LR128B-3,18729-08
PT 128 · S3 (LR) · Q12,PT 128,3,S3,12,Q12,LSAC128,LR128B-3,15975-04
PT 128 · S3 (LR) · Q13,PT 128,3,S3,13,Q13,LSAC128,LR128B-3,WA000770
PT 128 · S3 (LR) · Q14,PT 128,3,S3,14,Q14,LSAC128,LR128B-3,16241-04
PT 128 · S3 (LR) · Q15,PT 128,3,S3,15,Q15,LSAC128,LR128B-3,16871-06
PT 128 · S3 (LR) · Q16,PT 128,3,S3,16,Q16,LSAC128,LR128B-3,11600-05
PT 128 · S3 (LR) · Q17,PT 128,3,S3,17,Q17,LSAC128,LR128B-3,19627-07
PT 128 · S3 (LR) · Q18,PT 128,3,S3,18,Q18,LSAC128,LR128B-3,15501-10
PT 128 · S3 (LR) · Q19,PT 128,3,S3,19,Q19,LSAC128,LR128B-3,XG002468
PT 128 · S3 (LR) · Q20,PT 128,3,S3,20,Q20,LSAC128,LR128B-3,17183-08
PT 128 · S3 (LR) · Q21,PT 128,3,S3,21,Q21,LSAC128,LR128B-3,12305-01
PT 128 · S3 (LR) · Q22,PT 128,3,S3,22,Q22,LSAC128,LR128B-3,12476-03
PT 128 · S3 (LR) · Q23,PT 128,3,S3,23,Q23,LSAC128,LR128B-3,16749-07
PT 128 · S3 (LR) · Q24,PT 128,3,S3,24,Q24,LSAC128,LR128B-3,13040-08
PT 128 · S3 (LR) · Q25,PT 128,3,S3,25,Q25,LSAC128,LR128B-3,19966-10
PT 128 · S4 (RC) · Q1,PT 128,4,S4,1,Q1,LSAC128,RC128A-4,22206-01
PT 128 · S4 (RC) · Q2,PT 128,4,S4,2,Q2,LSAC128,RC128A-4,22206-02
PT 128 · S4 (RC) · Q3,PT 128,4,S4,3,Q3,LSAC128,RC128A-4,22206-03
PT 128 · S4 (RC) · Q4,PT 128,4,S4,4,Q4,LSAC128,RC128A-4,22206-09
PT 128 · S4 (RC) · Q5,PT 128,4,S4,5,Q5,LSAC128,RC128A-4,22206-07
PT 128 · S4 (RC) · Q6,PT 128,4,S4,6,Q6,LSAC128,RC128A-4,22206-11
PT 128 · S4 (RC) · Q7,PT 128,4,S4,7,Q7,LSAC128,RC128A-4,26380-01
PT 128 · S4 (RC) · Q8,PT 128,4,S4,8,Q8,LSAC128,RC128A-4,26380-11
PT 128 · S4 (RC) · Q9,PT 128,4,S4,9,Q9,LSAC128,RC128A-4,26380-05
PT 128 · S4 (RC) · Q10,PT 128,4,S4,10,Q10,LSAC128,RC128A-4,26380-03
PT 128 · S4 (RC) · Q11,PT 128,4,S4,11,Q11,LSAC128,RC128A-4,26380-04
PT 128 · S4 (RC) · Q12,PT 128,4,S4,12,Q12,LSAC128,RC128A-4,26380-06
PT 128 · S4 (RC) · Q13,PT 128,4,S4,13,Q13,LSAC128,RC128A-4,20674-01
PT 128 · S4 (RC) · Q14,PT 128,4,S4,14,Q14,LSAC128,RC128A-4,20674-02
PT 128 · S4 (RC) · Q15,PT 128,4,S4,15,Q15,LSAC128,RC128A-4,20674-10
PT 128 · S4 (RC) · Q16,PT 128,4,S4,16,Q16,LSAC128,RC128A-4,20674-16
PT 128 · S4 (RC) · Q17,PT 128,4,S4,17,Q17,LSAC128,RC128A-4,20674-06
PT 128 · S4 (RC) · Q18,PT 128,4,S4,18,Q18,LSAC128,RC128A-4,20674-14
PT 128 · S4 (RC) · Q19,PT 128,4,S4,19,Q19,LSAC128,RC128A-4,20674-13
PT 128 · S4 (RC) · Q20,PT 128,4,S4,20,Q20,LSAC128,RC128A-4,RP017-05
PT 128 · S4 (RC) · Q21,PT 128,4,S4,21,Q21,LSAC128,RC128A-4,RP017-02
PT 128 · S4 (RC) · Q22,PT 128,4,S4,22,Q22,LSAC128,RC128A-4,RP017-07
PT 128 · S4 (RC) · Q23,PT 128,4,S4,23,Q23,LSAC128,RC128A-4,RP017-09
PT 128 · S4 (RC) · Q24,PT 128,4,S4,24,Q24,LSAC128,RC128A-4,RP017-03
PT 128 · S4 (RC) · Q25,PT 128,4,S4,25,Q25,LSAC128,RC128A-4,RP017-04
PT 128 · S4 (RC) · Q26,PT 128,4,S4,26,Q26,LSAC128,RC128A-4,RP017-10
PT 128 · S4 (RC) · Q27,PT 128,4,S4,27,Q27,LSAC128,RC128A-4,RP017-13
PT 129 · S1 (LR) · Q1,PT 129,1,S1,1,Q1,LSAC129,LR129V-1,12757-04
PT 129 · S1 (LR) · Q2,PT 129,1,S1,2,Q2,LSAC129,LR129V-1,14586-07
PT 129 · S1 (LR) · Q3,PT 129,1,S1,3,Q3,LSAC129,LR129V-1,12343-05
PT 129 · S1 (LR) · Q4,PT 129,1,S1,4,Q4,LSAC129,LR129V-1,11998-01
PT 129 · S1 (LR) · Q5,PT 129,1,S1,5,Q5,LSAC129,LR129V-1,09607-09
PT 129 · S1 (LR) · Q6,PT 129,1,S1,6,Q6,LSAC129,LR129V-1,14382-06
PT 129 · S1 (LR) · Q7,PT 129,1,S1,7,Q7,LSAC129,LR129V-1,YC000236
PT 129 · S1 (LR) · Q8,PT 129,1,S1,8,Q8,LSAC129,LR129V-1,XG002619
PT 129 · S1 (LR) · Q9,PT 129,1,S1,9,Q9,LSAC129,LR129V-1,13754-02
PT 129 · S1 (LR) · Q10,PT 129,1,S1,10,Q10,LSAC129,LR129V-1,13756-04
PT 129 · S1 (LR) · Q11,PT 129,1,S1,11,Q11,LSAC129,LR129V-1,14959-02
PT 129 · S1 (LR) · Q12,PT 129,1,S1,12,Q12,LSAC129,LR129V-1,12647-02
PT 129 · S1 (LR) · Q13,PT 129,1,S1,13,Q13,LSAC129,LR129V-1,13909-09
PT 129 · S1 (LR) · Q14,PT 129,1,S1,14,Q14,LSAC129,LR129V-1,12589-09
PT 129 · S1 (LR) · Q15,PT 129,1,S1,15,Q15,LSAC129,LR129V-1,12477-03
PT 129 · S1 (LR) · Q16,PT 129,1,S1,16,Q16,LSAC129,LR129V-1,12946-07
PT 129 · S1 (LR) · Q17,PT 129,1,S1,17,Q17,LSAC129,LR129V-1,15012-05
PT 129 · S1 (LR) · Q18,PT 129,1,S1,18,Q18,LSAC129,LR129V-1,14434-02
PT 129 · S1 (LR) · Q19,PT 129,1,S1,19,Q19,LSAC129,LR129V-1,11011-07
PT 129 · S1 (LR) · Q20,PT 129,1,S1,20,Q20,LSAC129,LR129V-1,16861-01
PT 129 · S1 (LR) · Q21,PT 129,1,S1,21,Q21,LSAC129,LR129V-1,12541-10
PT 129 · S1 (LR) · Q22,PT 129,1,S1,22,Q22,LSAC129,LR129V-1,11416-09
PT 129 · S1 (LR) · Q23,PT 129,1,S1,23,Q23,LSAC129,LR129V-1,11089-02
PT 129 · S1 (LR) · Q24,PT 129,1,S1,24,Q24,LSAC129,LR129V-1,14749-10
PT 129 · S1 (LR) · Q25,PT 129,1,S1,25,Q25,LSAC129,LR129V-1,14233-03
PT 129 · S2 (LR) · Q1,PT 129,2,S2,1,Q1,LSAC129,LR129A-2,16341-06
PT 129 · S2 (LR) · Q2,PT 129,2,S2,2,Q2,LSAC129,LR129A-2,17114-10
PT 129 · S2 (LR) · Q3,PT 129,2,S2,3,Q3,LSAC129,LR129A-2,16339-09
PT 129 · S2 (LR) · Q4,PT 129,2,S2,4,Q4,LSAC129,LR129A-2,12541-07
PT 129 · S2 (LR) · Q5,PT 129,2,S2,5,Q5,LSAC129,LR129A-2,18552-01
PT 129 · S2 (LR) · Q6,PT 129,2,S2,6,Q6,LSAC129,LR129A-2,12227-08
PT 129 · S2 (LR) · Q7,PT 129,2,S2,7,Q7,LSAC129,LR129A-2,14784-07
PT 129 · S2 (LR) · Q8,PT 129,2,S2,8,Q8,LSAC129,LR129A-2,09266-04
PT 129 · S2 (LR) · Q9,PT 129,2,S2,9,Q9,LSAC129,LR129A-2,14681-05
PT 129 · S2 (LR) · Q10,PT 129,2,S2,10,Q10,LSAC129,LR129A-2,13078-02
PT 129 · S2 (LR) · Q11,PT 129,2,S2,11,Q11,LSAC129,LR129A-2,12018-01
PT 129 · S2 (LR) · Q12,PT 129,2,S2,12,Q12,LSAC129,LR129A-2,19430-05
PT 129 · S2 (LR) · Q13,PT 129,2,S2,13,Q13,LSAC129,LR129A-2,18352-03
PT 129 · S2 (LR) · Q14,PT 129,2,S2,14,Q14,LSAC129,LR129A-2,17889-08
PT 129 · S2 (LR) · Q15,PT 129,2,S2,15,Q15,LSAC129,LR129A-2,12026-05
PT 129 · S2 (LR) · Q16,PT 129,2,S2,16,Q16,LSAC129,LR129A-2,18550-10
PT 129 · S2 (LR) · Q17,PT 129,2,S2,17,Q17,LSAC129,LR129A-2,AA
PT 129 · S2 (LR) · Q18,PT 129,2,S2,18,Q18,LSAC129,LR129A-2,B755A-01
PT 129 · S2 (LR) · Q19,PT 129,2,S2,19,Q19,LSAC129,LR129A-2,09397-04
PT 129 · S2 (LR) · Q20,PT 129,2,S2,20,Q20,LSAC129,LR129A-2,15217-08
PT 129 · S2 (LR) · Q21,PT 129,2,S2,21,Q21,LSAC129,LR129A-2,17973-02
PT 129 · S2 (LR) · Q22,PT 129,2,S2,22,Q22,LSAC129,LR129A-2,14750-10
PT 129 · S2 (LR) · Q23,PT 129,2,S2,23,Q23,LSAC129,LR129A-2,J00A-117
PT 129 · S2 (LR) · Q24,PT 129,2,S2,24,Q24,LSAC129,LR129A-2,17605-06
PT 129 · S2 (LR) · Q25,PT 129,2,S2,25,Q25,LSAC129,LR129A-2,16718-07
PT 129 · S2 (LR) · Q26,PT 129,2,S2,26,Q26,LSAC129,LR129A-2,14959-06
PT 129 · S3 (LR) · Q1,PT 129,3,S3,1,Q1,LSAC129,LR129B-3,13990-04
PT 129 · S3 (LR) · Q2,PT 129,3,S3,2,Q2,LSAC129,LR129B-3,20291-12
PT 129 · S3 (LR) · Q3,PT 129,3,S3,3,Q3,LSAC129,LR129B-3,17716-02
PT 129 · S3 (LR) · Q4,PT 129,3,S3,4,Q4,LSAC129,LR129B-3,09957-10
PT 129 · S3 (LR) · Q5,PT 129,3,S3,5,Q5,LSAC129,LR129B-3,10288-03
PT 129 · S3 (LR) · Q6,PT 129,3,S3,6,Q6,LSAC129,LR129B-3,17706-10
PT 129 · S3 (LR) · Q7,PT 129,3,S3,7,Q7,LSAC129,LR129B-3,18730-06
PT 129 · S3 (LR) · Q8,PT 129,3,S3,8,Q8,LSAC129,LR129B-3,16724-06
PT 129 · S3 (LR) · Q9,PT 129,3,S3,9,Q9,LSAC129,LR129B-3,15009-08
PT 129 · S3 (LR) · Q10,PT 129,3,S3,10,Q10,LSAC129,LR129B-3,14362-04
PT 129 · S3 (LR) · Q11,PT 129,3,S3,11,Q11,LSAC129,LR129B-3,XG001684
PT 129 · S3 (LR) · Q12,PT 129,3,S3,12,Q12,LSAC129,LR129B-3,15357-08
PT 129 · S3 (LR) · Q13,PT 129,3,S3,13,Q13,LSAC129,LR129B-3,16029-04
PT 129 · S3 (LR) · Q14,PT 129,3,S3,14,Q14,LSAC129,LR129B-3,14954-04
PT 129 · S3 (LR) · Q15,PT 129,3,S3,15,Q15,LSAC129,LR129B-3,11090-05
PT 129 · S3 (LR) · Q16,PT 129,3,S3,16,Q16,LSAC129,LR129B-3,12707-02
PT 129 · S3 (LR) · Q17,PT 129,3,S3,17,Q17,LSAC129,LR129B-3,B5277-01
PT 129 · S3 (LR) · Q18,PT 129,3,S3,18,Q18,LSAC129,LR129B-3,17047-03
PT 129 · S3 (LR) · Q19,PT 129,3,S3,19,Q19,LSAC129,LR129B-3,14635-09
PT 129 · S3 (LR) · Q20,PT 129,3,S3,20,Q20,LSAC129,LR129B-3,12228-03
PT 129 · S3 (LR) · Q21,PT 129,3,S3,21,Q21,LSAC129,LR129B-3,11865-06
PT 129 · S3 (LR) · Q22,PT 129,3,S3,22,Q22,LSAC129,LR129B-3,14405-06
PT 129 · S3 (LR) · Q23,PT 129,3,S3,23,Q23,LSAC129,LR129B-3,16860-05
PT 129 · S3 (LR) · Q24,PT 129,3,S3,24,Q24,LSAC129,LR129B-3,18544-01
PT 129 · S3 (LR) · Q25,PT 129,3,S3,25,Q25,LSAC129,LR129B-3,09267-09
PT 129 · S4 (RC) · Q1,PT 129,4,S4,1,Q1,LSAC129,RC129A-4,12249-01
PT 129 · S4 (RC) · Q2,PT 129,4,S4,2,Q2,LSAC129,RC129A-4,12249-04
PT 129 · S4 (RC) · Q3,PT 129,4,S4,3,Q3,LSAC129,RC129A-4,12249-03
PT 129 · S4 (RC) · Q4,PT 129,4,S4,4,Q4,LSAC129,RC129A-4,12249-06
PT 129 · S4 (RC) · Q5,PT 129,4,S4,5,Q5,LSAC129,RC129A-4,12249-07
PT 129 · S4 (RC) · Q6,PT 129,4,S4,6,Q6,LSAC129,RC129A-4,HN000493
PT 129 · S4 (RC) · Q7,PT 129,4,S4,7,Q7,LSAC129,RC129A-4,HN000500
PT 129 · S4 (RC) · Q8,PT 129,4,S4,8,Q8,LSAC129,RC129A-4,HN000501
PT 129 · S4 (RC) · Q9,PT 129,4,S4,9,Q9,LSAC129,RC129A-4,HN000494
PT 129 · S4 (RC) · Q10,PT 129,4,S4,10,Q10,LSAC129,RC129A-4,HN000495
PT 129 · S4 (RC) · Q11,PT 129,4,S4,11,Q11,LSAC129,RC129A-4,HN000497
PT 129 · S4 (RC) · Q12,PT 129,4,S4,12,Q12,LSAC129,RC129A-4,HN000498
PT 129 · S4 (RC) · Q13,PT 129,4,S4,13,Q13,LSAC129,RC129A-4,CN003-10
PT 129 · S4 (RC) · Q14,PT 129,4,S4,14,Q14,LSAC129,RC129A-4,CN003-04
PT 129 · S4 (RC) · Q15,PT 129,4,S4,15,Q15,LSAC129,RC129A-4,CN003-11
PT 129 · S4 (RC) · Q16,PT 129,4,S4,16,Q16,LSAC129,RC129A-4,CN003-03
PT 129 · S4 (RC) · Q17,PT 129,4,S4,17,Q17,LSAC129,RC129A-4,CN003-09
PT 129 · S4 (RC) · Q18,PT 129,4,S4,18,Q18,LSAC129,RC129A-4,CN003-12
PT 129 · S4 (RC) · Q19,PT 129,4,S4,19,Q19,LSAC129,RC129A-4,CN003-01
PT 129 · S4 (RC) · Q20,PT 129,4,S4,20,Q20,LSAC129,RC129A-4,12042-01
PT 129 · S4 (RC) · Q21,PT 129,4,S4,21,Q21,LSAC129,RC129A-4,12042-04
PT 129 · S4 (RC) · Q22,PT 129,4,S4,22,Q22,LSAC129,RC129A-4,12042-11
PT 129 · S4 (RC) · Q23,PT 129,4,S4,23,Q23,LSAC129,RC129A-4,12042-05
PT 129 · S4 (RC) · Q24,PT 129,4,S4,24,Q24,LSAC129,RC129A-4,12042-02
PT 129 · S4 (RC) · Q25,PT 129,4,S4,25,Q25,LSAC129,RC129A-4,12042-09
PT 129 · S4 (RC) · Q26,PT 129,4,S4,26,Q26,LSAC129,RC129A-4,12042-06
PT 129 · S4 (RC) · Q27,PT 129,4,S4,27,Q27,LSAC129,RC129A-4,12042-08
PT 130 · S1 (LR) · Q1,PT 130,1,S1,1,Q1,LSAC130,LR130A-1,15296-07
PT 130 · S1 (LR) · Q2,PT 130,1,S1,2,Q2,LSAC130,LR130A-1,14961-05
PT 130 · S1 (LR) · Q3,PT 130,1,S1,3,Q3,LSAC130,LR130A-1,13755-08
PT 130 · S1 (LR) · Q4,PT 130,1,S1,4,Q4,LSAC130,LR130A-1,16830-03
PT 130 · S1 (LR) · Q5,PT 130,1,S1,5,Q5,LSAC130,LR130A-1,13523-09
PT 130 · S1 (LR) · Q6,PT 130,1,S1,6,Q6,LSAC130,LR130A-1,I00-353A
PT 130 · S1 (LR) · Q7,PT 130,1,S1,7,Q7,LSAC130,LR130A-1,CD003277
PT 130 · S1 (LR) · Q8,PT 130,1,S1,8,Q8,LSAC130,LR130A-1,15972-10
PT 130 · S1 (LR) · Q9,PT 130,1,S1,9,Q9,LSAC130,LR130A-1,13802-09
PT 130 · S1 (LR) · Q10,PT 130,1,S1,10,Q10,LSAC130,LR130A-1,13789-03
PT 130 · S1 (LR) · Q11,PT 130,1,S1,11,Q11,LSAC130,LR130A-1,12027-05
PT 130 · S1 (LR) · Q12,PT 130,1,S1,12,Q12,LSAC130,LR130A-1,16033-02
PT 130 · S1 (LR) · Q13,PT 130,1,S1,13,Q13,LSAC130,LR130A-1,17136-02
PT 130 · S1 (LR) · Q14,PT 130,1,S1,14,Q14,LSAC130,LR130A-1,16965-03
PT 130 · S1 (LR) · Q15,PT 130,1,S1,15,Q15,LSAC130,LR130A-1,17051-01
PT 130 · S1 (LR) · Q16,PT 130,1,S1,16,Q16,LSAC130,LR130A-1,11917-08
PT 130 · S1 (LR) · Q17,PT 130,1,S1,17,Q17,LSAC130,LR130A-1,15977-10
PT 130 · S1 (LR) · Q18,PT 130,1,S1,18,Q18,LSAC130,LR130A-1,16030-11
